wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1155.1886,0,0.13895,4.7467e-07,6.7426,6.8815
1155.1987,0,0.13895,4.7463e-07,6.7433,6.8823
1155.2087,0,0.13895,4.746e-07,6.7441,6.8831
1155.2187,0,0.13895,4.7456e-07,6.7449,6.8838
1155.2288,0,0.13895,4.7453e-07,6.7456,6.8846
1155.2388,0,0.13895,4.7449e-07,6.7464,6.8853
1155.2489,0,0.13895,4.7446e-07,6.7471,6.8861
1155.2589,0,0.13895,4.7442e-07,6.7479,6.8869
1155.2689,0,0.13895,4.7438e-07,6.7487,6.8876
1155.2790,0,0.13895,4.7435e-07,6.7494,6.8884
1155.2890,0,0.13895,4.7431e-07,6.7502,6.8891
1155.2990,0,0.13895,4.7428e-07,6.7509,6.8899
1155.3091,0,0.13895,4.7424e-07,6.7517,6.8907
1155.3191,0,0.13895,4.7421e-07,6.7525,6.8914
1155.3291,0,0.13895,4.7417e-07,6.7532,6.8922
1155.3392,0,0.13895,4.7413e-07,6.754,6.8929
1155.3492,0,0.13895,4.741e-07,6.7547,6.8937
1155.3593,0,0.13895,4.7406e-07,6.7555,6.8945
1155.3693,0,0.13895,4.7403e-07,6.7563,6.8952
1155.3793,0,0.13895,4.7399e-07,6.757,6.896
1155.3894,0,0.13895,4.7395e-07,6.7578,6.8967
1155.3994,0,0.13895,4.7392e-07,6.7585,6.8975
1155.4094,0,0.13895,4.7388e-07,6.7593,6.8983
1155.4195,0,0.13895,4.7385e-07,6.7601,6.899
1155.4295,0,0.13895,4.7381e-07,6.7608,6.8998
1155.4395,0,0.13895,4.7377e-07,6.7616,6.9005
1155.4496,0,0.13895,4.7374e-07,6.7623,6.9013
1155.4596,0,0.13895,4.737e-07,6.7631,6.902
1155.4696,0,0.13895,4.7367e-07,6.7639,6.9028
1155.4797,0,0.13895,4.7363e-07,6.7646,6.9036
1155.4897,0,0.13895,4.7359e-07,6.7654,6.9043
1155.4998,0,0.13895,4.7356e-07,6.7661,6.9051
1155.5098,0,0.13895,4.7352e-07,6.7669,6.9058
1155.5198,0,0.13895,4.7348e-07,6.7677,6.9066
1155.5299,0,0.13895,4.7345e-07,6.7684,6.9074
1155.5399,0,0.13895,4.7341e-07,6.7692,6.9081
1155.5499,0,0.13895,4.7337e-07,6.7699,6.9089
1155.5600,0,0.13895,4.7334e-07,6.7707,6.9097
1155.5700,0,0.13895,4.733e-07,6.7715,6.9104
1155.5800,0,0.13895,4.7327e-07,6.7722,6.9112
1155.5901,0,0.13895,4.7323e-07,6.773,6.9119
1155.6001,0,0.13895,4.7319e-07,6.7738,6.9127
1155.6102,0,0.13895,4.7316e-07,6.7745,6.9135
1155.6202,0,0.13895,4.7312e-07,6.7753,6.9142
1155.6302,0,0.13895,4.7308e-07,6.776,6.915
1155.6403,0,0.13895,4.7305e-07,6.7768,6.9157
1155.6503,0,0.13895,4.7301e-07,6.7776,6.9165
1155.6603,0,0.13895,4.7297e-07,6.7783,6.9173
1155.6704,0,0.13895,4.7294e-07,6.7791,6.918
1155.6804,0,0.13895,4.729e-07,6.7798,6.9188
1155.6904,0,0.13895,4.7286e-07,6.7806,6.9196
1155.7005,0,0.13895,4.7283e-07,6.7814,6.9203
1155.7105,0,0.13895,4.7279e-07,6.7821,6.9211
1155.7205,0,0.13895,4.7275e-07,6.7829,6.9218
1155.7306,0,0.13895,4.7272e-07,6.7836,6.9226
1155.7406,0,0.13895,4.7268e-07,6.7844,6.9234
1155.7507,0,0.13895,4.7264e-07,6.7852,6.9241
1155.7607,0,0.13895,4.726e-07,6.7859,6.9249
1155.7707,0,0.13895,4.7257e-07,6.7867,6.9256
1155.7808,0,0.13895,4.7253e-07,6.7875,6.9264
1155.7908,0,0.13895,4.7249e-07,6.7882,6.9272
1155.8008,0,0.13895,4.7246e-07,6.789,6.9279
1155.8109,0,0.13895,4.7242e-07,6.7897,6.9287
1155.8209,0,0.13895,4.7238e-07,6.7905,6.9294
1155.8309,0,0.13895,4.7235e-07,6.7913,6.9302
1155.8410,0,0.13895,4.7231e-07,6.792,6.931
1155.8510,0,0.13895,4.7227e-07,6.7928,6.9317
1155.8611,0,0.13895,4.7223e-07,6.7935,6.9325
1155.8711,0,0.13895,4.722e-07,6.7943,6.9332
1155.8811,0,0.13895,4.7216e-07,6.795,6.934
1155.8912,0,0.13895,4.7212e-07,6.7958,6.9348
1155.9012,0,0.13895,4.7209e-07,6.7966,6.9355
1155.9112,0,0.13895,4.7205e-07,6.7973,6.9363
1155.9213,0,0.13895,4.7201e-07,6.7981,6.937
1155.9313,0,0.13895,4.7197e-07,6.7988,6.9378
1155.9413,0,0.13895,4.7194e-07,6.7996,6.9386
1155.9514,0,0.13895,4.719e-07,6.8004,6.9393
1155.9614,0,0.13895,4.7186e-07,6.8011,6.9401
1155.9714,0,0.13895,4.7182e-07,6.8019,6.9408
1155.9815,0,0.13895,4.7179e-07,6.8026,6.9416
1155.9915,0,0.13895,4.7175e-07,6.8034,6.9423
1156.0016,0,0.13895,4.7171e-07,6.8041,6.9431
