wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
1156.5736,0,0.0588,4.6162e-07,6.7317,6.7905
1156.5836,0,0.0588,4.6159e-07,6.7325,6.7913
1156.5937,0,0.0588,4.6155e-07,6.7333,6.7921
1156.6037,0,0.0588,4.6152e-07,6.7341,6.7929
1156.6138,0,0.0588,4.6148e-07,6.7349,6.7937
1156.6238,0,0.0588,4.6145e-07,6.7357,6.7945
1156.6338,0,0.0588,4.6141e-07,6.7365,6.7953
1156.6439,0,0.0588,4.6138e-07,6.7373,6.7961
1156.6539,0,0.0588,4.6134e-07,6.7381,6.7969
1156.6639,0,0.0588,4.6131e-07,6.7389,6.7977
1156.6740,0,0.0588,4.6127e-07,6.7397,6.7985
1156.6840,0,0.0588,4.6124e-07,6.7405,6.7993
1156.6940,0,0.0588,4.612e-07,6.7413,6.8001
1156.7041,0,0.0588,4.6117e-07,6.7421,6.8009
1156.7141,0,0.0588,4.6113e-07,6.7429,6.8017
1156.7242,0,0.0588,4.611e-07,6.7437,6.8025
1156.7342,0,0.0588,4.6106e-07,6.7445,6.8033
1156.7442,0,0.0588,4.6103e-07,6.7453,6.8041
1156.7543,0,0.0588,4.6099e-07,6.7461,6.8049
1156.7643,0,0.0588,4.6096e-07,6.7468,6.8056
1156.7743,0,0.0588,4.6092e-07,6.7476,6.8064
1156.7844,0,0.0588,4.6089e-07,6.7484,6.8072
1156.7944,0,0.0588,4.6085e-07,6.7492,6.808
1156.8044,0,0.0588,4.6082e-07,6.75,6.8088
1156.8145,0,0.0588,4.6078e-07,6.7508,6.8096
1156.8245,0,0.0588,4.6075e-07,6.7516,6.8104
1156.8345,0,0.0588,4.6071e-07,6.7524,6.8112
1156.8446,0,0.0588,4.6068e-07,6.7532,6.812
1156.8546,0,0.0588,4.6064e-07,6.754,6.8128
1156.8647,0,0.0588,4.606e-07,6.7548,6.8136
1156.8747,0,0.0588,4.6057e-07,6.7556,6.8144
1156.8847,0,0.0588,4.6053e-07,6.7564,6.8152
1156.8948,0,0.0588,4.605e-07,6.7572,6.816
1156.9048,0,0.0588,4.6046e-07,6.758,6.8168
1156.9148,0,0.0588,4.6043e-07,6.7588,6.8176
1156.9249,0,0.0588,4.6039e-07,6.7596,6.8184
1156.9349,0,0.0588,4.6036e-07,6.7604,6.8192
1156.9449,0,0.0588,4.6032e-07,6.7612,6.82
1156.9550,0,0.0588,4.6028e-07,6.762,6.8208
1156.9650,0,0.0588,4.6025e-07,6.7628,6.8216
1156.9751,0,0.0588,4.6021e-07,6.7636,6.8224
1156.9851,0,0.0588,4.6018e-07,6.7644,6.8232
1156.9951,0,0.0588,4.6014e-07,6.7652,6.824
1157.0052,0,0.0588,4.601e-07,6.7659,6.8247
1157.0152,0,0.0588,4.6007e-07,6.7667,6.8255
1157.0252,0,0.0588,4.6003e-07,6.7675,6.8263
1157.0353,0,0.0588,4.5999e-07,6.7682,6.827
1157.0453,0,0.0588,4.5996e-07,6.769,6.8278
1157.0553,0,0.0588,4.5992e-07,6.7698,6.8286
1157.0654,0,0.0588,4.5989e-07,6.7706,6.8294
1157.0754,0,0.0588,4.5985e-07,6.7713,6.8301
1157.0855,0,0.0588,4.5981e-07,6.7721,6.8309
1157.0955,0,0.0588,4.5978e-07,6.7729,6.8317
1157.1055,0,0.0588,4.5974e-07,6.7736,6.8324
1157.1156,0,0.0588,4.597e-07,6.7744,6.8332
1157.1256,0,0.0588,4.5967e-07,6.7752,6.834
1157.1356,0,0.0588,4.5963e-07,6.7759,6.8347
1157.1457,0,0.0588,4.5959e-07,6.7767,6.8355
1157.1557,0,0.0588,4.5956e-07,6.7775,6.8363
1157.1657,0,0.0588,4.5952e-07,6.7782,6.837
1157.1758,0,0.0588,4.5948e-07,6.779,6.8378
1157.1858,0,0.0588,4.5945e-07,6.7798,6.8386
1157.1958,0,0.0588,4.5941e-07,6.7805,6.8393
1157.2059,0,0.0588,4.5937e-07,6.7813,6.8401
1157.2159,0,0.0588,4.5934e-07,6.7821,6.8409
1157.2260,0,0.0588,4.593e-07,6.7828,6.8416
1157.2360,0,0.0588,4.5926e-07,6.7836,6.8424
1157.2460,0,0.0588,4.5923e-07,6.7844,6.8432
1157.2561,0,0.0588,4.5919e-07,6.7851,6.8439
1157.2661,0,0.0588,4.5915e-07,6.7859,6.8447
1157.2761,0,0.0588,4.5912e-07,6.7867,6.8455
1157.2862,0,0.0588,4.5908e-07,6.7874,6.8462
1157.2962,0,0.0588,4.5904e-07,6.7882,6.847
1157.3062,0,0.0588,4.59e-07,6.789,6.8478
1157.3163,0,0.0588,4.5897e-07,6.7897,6.8485
1157.3263,0,0.0588,4.5893e-07,6.7905,6.8493
1157.3364,0,0.0588,4.5889e-07,6.7913,6.8501
1157.3464,0,0.0588,4.5886e-07,6.792,6.8508
1157.3564,0,0.0588,4.5882e-07,6.7928,6.8516
1157.3665,0,0.0588,4.5878e-07,6.7936,6.8524
1157.3765,0,0.0588,4.5874e-07,6.7943,6.8531
1157.3865,0,0.0588,4.5871e-07,6.7951,6.8539
1157.3966,0,0.0588,4.5867e-07,6.7959,6.8547
1157.4066,0,0.0588,4.5863e-07,6.7966,6.8554
1157.4166,0,0.0588,4.5859e-07,6.7974,6.8562
1157.4267,0,0.0588,4.5856e-07,6.7982,6.857
1157.4367,0,0.0588,4.5852e-07,6.7989,6.8577
1157.4467,0,0.0588,4.5848e-07,6.7997,6.8585
1157.4568,0,0.0588,4.5844e-07,6.8005,6.8593
1157.4668,0,0.0588,4.584e-07,6.8012,6.86
1157.4769,0,0.0588,4.5837e-07,6.802,6.8608
1157.4869,0,0.0588,4.5833e-07,6.8028,6.8616
1157.4969,0,0.0588,4.5829e-07,6.8035,6.8623
